Text;Size;Color;Angle;Font;Repeat;URL
Rt;7478;Random;Random;Random;Yes;
Nicolasmaduro;1841;Random;Random;Random;Yes;
Pueblo;1276;Random;Random;Random;Yes;
Venezuela;1024;Random;Random;Random;Yes;
Año;1020;Random;Random;Random;Yes;
Hoy;1003;Random;Random;Random;Yes;
Patria;743;Random;Random;Random;Yes;
Presidente;650;Random;Random;Random;Yes;
Si;579;Random;Random;Random;Yes;
Día;543;Random;Random;Random;Yes;
Gobierno;490;Random;Random;Random;Yes;
Cuba;478;Random;Random;Random;Yes;
Chávez;477;Random;Random;Random;Yes;
Paz;416;Random;Random;Random;Yes;
Ahora;399;Random;Random;Random;Yes;
Está;392;Random;Random;Random;Yes;
Gracia;381;Random;Random;Random;Yes;
Por;380;Random;Random;Random;Yes;
Plan;379;Random;Random;Random;Yes;
Constituyente;369;Random;Random;Random;Yes;
Dcabellor;360;Random;Random;Random;Yes;
Nacion;358;Random;Random;Random;Yes;
2018;357;Random;Random;Random;Yes;
Venezolano;350;Random;Random;Random;Yes;
Revolución;348;Random;Random;Random;Yes;
País;338;Random;Random;Random;Yes;
Hace;338;Random;Random;Random;Yes;
Comandante;321;Random;Random;Random;Yes;
Vamo;311;Random;Random;Random;Yes;
Conelmazodando;302;Random;Random;Random;Yes;
Pdte;302;Random;Random;Random;Yes;
Junto;293;Random;Random;Random;Yes;
Vida;292;Random;Random;Random;Yes;
Gran;291;Random;Random;Random;Yes;
Así;290;Random;Random;Random;Yes;
Municipio;285;Random;Random;Random;Yes;
Todo;283;Random;Random;Random;Yes;
Social;282;Random;Random;Random;Yes;
Estado;281;Random;Random;Random;Yes;
Chavista;278;Random;Random;Random;Yes;
Toda;275;Random;Random;Random;Yes;
Popular;272;Random;Random;Random;Yes;
Nuevo;271;Random;Random;Random;Yes;
Amor;270;Random;Random;Random;Yes;
Dio;264;Random;Random;Random;Yes;
Siempre;264;Random;Random;Random;Yes;
Trabajo;263;Random;Random;Random;Yes;
Bolívar;253;Random;Random;Random;Yes;
Psuv;252;Random;Random;Random;Yes;
Mejor;251;Random;Random;Random;Yes;
2017;250;Random;Random;Random;Yes;
Mundo;248;Random;Random;Random;Yes;
Mil;235;Random;Random;Random;Yes;
Nueva;234;Random;Random;Random;Yes;
Victoria;222;Random;Random;Random;Yes;
Vtvcanal8;218;Random;Random;Random;Yes;
Maduro;214;Random;Random;Random;Yes;
Oficial;212;Random;Random;Random;Yes;
Est;211;Random;Random;Random;Yes;
Niño;210;Random;Random;Random;Yes;
Camarada;209;Random;Random;Random;Yes;
Solo;206;Random;Random;Random;Yes;
Anc;205;Random;Random;Random;Yes;
Qué;203;Random;Random;Random;Yes;
Caraca;202;Random;Random;Random;Yes;
Seguimo;201;Random;Random;Random;Yes;
Cada;198;Random;Random;Random;Yes;
Aquí;198;Random;Random;Random;Yes;
Lucha;198;Random;Random;Random;Yes;
Poder;196;Random;Random;Random;Yes;
Video;195;Random;Random;Random;Yes;
Pdvsa;191;Random;Random;Random;Yes;
Casa;189;Random;Random;Random;Yes;
Desd;188;Random;Random;Random;Yes;
Ve;188;Random;Random;Random;Yes;
Nuestro;184;Random;Random;Random;Yes;
Revolucionario;183;Random;Random;Random;Yes;
Bolivariana;182;Random;Random;Random;Yes;
Hugo;181;Random;Random;Random;Yes;
Están;180;Random;Random;Random;Yes;
Gener;180;Random;Random;Random;Yes;
Al;180;Random;Random;Random;Yes;
Millon;180;Random;Random;Random;Yes;
Alcald;180;Random;Random;Random;Yes;
Gent;179;Random;Random;Random;Yes;
Será;177;Random;Random;Random;Yes;
Trabajador;176;Random;Random;Random;Yes;
Asamblea;175;Random;Random;Random;Yes;
Gobernador;175;Random;Random;Random;Yes;
Ministro;175;Random;Random;Random;Yes;
Guerra;174;Random;Random;Random;Yes;
Reunión;174;Random;Random;Random;Yes;
Cuenta;172;Random;Random;Random;Yes;
Vía;171;Random;Random;Random;Yes;
Part;170;Random;Random;Random;Yes;
Ya;169;Random;Random;Random;Yes;
Una;169;Random;Random;Random;Yes;
Eeuu;168;Random;Random;Random;Yes;
Enero;168;Random;Random;Random;Yes;
Puede;167;Random;Random;Random;Yes;
Grand;167;Random;Random;Random;Yes;
Hermano;166;Random;Random;Random;Yes;
Salud;165;Random;Random;Random;Yes;
Nunca;164;Random;Random;Random;Yes;
Bueno;164;Random;Random;Random;Yes;
Equipo;163;Random;Random;Random;Yes;
Persona;163;Random;Random;Random;Yes;
Bien;163;Random;Random;Random;Yes;
Asesinato;163;Random;Random;Random;Yes;
Mujer;163;Random;Random;Random;Yes;
Verdad;162;Random;Random;Random;Yes;
Hacer;162;Random;Random;Random;Yes;
100;161;Random;Random;Random;Yes;
Call;161;Random;Random;Random;Yes;
Programa;160;Random;Random;Random;Yes;
Política;160;Random;Random;Random;Yes;
Favor;156;Random;Random;Random;Yes;
República;156;Random;Random;Random;Yes;
Esta;155;Random;Random;Random;Yes;
Feliz;154;Random;Random;Random;Yes;
Petro;154;Random;Random;Random;Yes;
Apoyo;153;Random;Random;Random;Yes;
Revolucionaria;152;Random;Random;Random;Yes;
Jauamiranda;151;Random;Random;Random;Yes;
Drodriguezven;151;Random;Random;Random;Yes;
Como;150;Random;Random;Random;Yes;
Rafaellacava10;149;Random;Random;Random;Yes;
Mayor;149;Random;Random;Random;Yes;
Unidad;149;Random;Random;Random;Yes;
Debe;148;Random;Random;Random;Yes;
11;147;Random;Random;Random;Yes;
Socialista;147;Random;Random;Random;Yes;
Zamora;142;Random;Random;Random;Yes;
Jornada;141;Random;Random;Random;Yes;
También;141;Random;Random;Random;Yes;
Del;141;Random;Random;Random;Yes;
Familia;141;Random;Random;Random;Yes;
Lucena;141;Random;Random;Random;Yes;
Ley;141;Random;Random;Random;Yes;
Bolivariano;141;Random;Random;Random;Yes;
Hora;140;Random;Random;Random;Yes;
Vez;139;Random;Random;Random;Yes;
Político;138;Random;Random;Random;Yes;
Servicio;136;Random;Random;Random;Yes;
Fuerza;135;Random;Random;Random;Yes;
Foto;135;Random;Random;Random;Yes;
Juventud;134;Random;Random;Random;Yes;
Seguir;134;Random;Random;Random;Yes;
Su;133;Random;Random;Random;Yes;
11ene;133;Random;Random;Random;Yes;
Mañana;131;Random;Random;Random;Yes;
Te;130;Random;Random;Random;Yes;
Venezolana;130;Random;Random;Random;Yes;
Oposición;130;Random;Random;Random;Yes;
Nadie;129;Random;Random;Random;Yes;
Rmarcotorr;129;Random;Random;Random;Yes;
Acto;129;Random;Random;Random;Yes;
Derecho;129;Random;Random;Random;Yes;
Partidopsuv;129;Random;Random;Random;Yes;
Buena;128;Random;Random;Random;Yes;
Unfollower;127;Random;Random;Random;Yes;
Da;125;Random;Random;Random;Yes;
Chavez;125;Random;Random;Random;Yes;
Gnb;125;Random;Random;Random;Yes;
Dice;124;Random;Random;Random;Yes;
San;124;Random;Random;Random;Yes;
Congreso;122;Random;Random;Random;Yes;
Sector;122;Random;Random;Random;Yes;
Nada;121;Random;Random;Random;Yes;
Derecha;120;Random;Random;Random;Yes;
Primera;120;Random;Random;Random;Yes;
Ver;120;Random;Random;Random;Yes;
10;119;Random;Random;Random;Yes;
Somo;119;Random;Random;Random;Yes;
Trabajando;117;Random;Random;Random;Yes;
Precio;117;Random;Random;Random;Yes;
Tuitutil;116;Random;Random;Random;Yes;
Tan;116;Random;Random;Random;Yes;
Clap;116;Random;Random;Random;Yes;
Tareckpsuv;116;Random;Random;Random;Yes;
Mismo;115;Random;Random;Random;Yes;
Económica;115;Random;Random;Random;Yes;
Simón;115;Random;Random;Random;Yes;
Unido;115;Random;Random;Random;Yes;
Le;114;Random;Random;Random;Yes;
Present;113;Random;Random;Random;Yes;
Fidel;113;Random;Random;Random;Yes;
Elecciones;112;Random;Random;Random;Yes;
Clase;112;Random;Random;Random;Yes;
Tiempo;112;Random;Random;Random;Yes;
Historia;112;Random;Random;Random;Yes;
Batalla;112;Random;Random;Random;Yes;
Mano;111;Random;Random;Random;Yes;
Tomá;111;Random;Random;Random;Yes;
Comunidad;110;Random;Random;Random;Yes;
Dos;110;Random;Random;Random;Yes;
Diálogo;110;Random;Random;Random;Yes;
New;109;Random;Random;Random;Yes;
Cuando;109;Random;Random;Random;Yes;
Pero;109;Random;Random;Random;Yes;
Cumplen;109;Random;Random;Random;Yes;
Estudiante;108;Random;Random;Random;Yes;
Yo;108;Random;Random;Random;Yes;
Libr;108;Random;Random;Random;Yes;
Hombr;108;Random;Random;Random;Yes;
Saludo;108;Random;Random;Random;Yes;
Esto;107;Random;Random;Random;Yes;
Hijo;107;Random;Random;Random;Yes;
Justicia;106;Random;Random;Random;Yes;
Noticia;106;Random;Random;Random;Yes;
Importante;105;Random;Random;Random;Yes;
Jóvenes;105;Random;Random;Random;Yes;
Candidato;105;Random;Random;Random;Yes;
Navidad;105;Random;Random;Random;Yes;
Gt;105;Random;Random;Random;Yes;
Viva;104;Random;Random;Random;Yes;
Seguridad;104;Random;Random;Random;Yes;
Villegaspoljak;104;Random;Random;Random;Yes;
Seguidor;104;Random;Random;Random;Yes;
Padr;103;Random;Random;Random;Yes;
Idea;103;Random;Random;Random;Yes;
2019;102;Random;Random;Random;Yes;
Sistema;102;Random;Random;Random;Yes;
Libertador;102;Random;Random;Random;Yes;
Primer;102;Random;Random;Random;Yes;
Momento;101;Random;Random;Random;Yes;
Tener;101;Random;Random;Random;Yes;
Juan;101;Random;Random;Random;Yes;
Zulia;101;Random;Random;Random;Yes;
Van;101;Random;Random;Random;Yes;
Via;101;Random;Random;Random;Yes;
Ciudad;100;Random;Random;Random;Yes;
Camino;100;Random;Random;Random;Yes;
Medio;100;Random;Random;Random;Yes;
2025;99;Random;Random;Random;Yes;
Militar;99;Random;Random;Random;Yes;
Sigu;99;Random;Random;Random;Yes;
Amigo;99;Random;Random;Random;Yes;
Quiero;99;Random;Random;Random;Yes;
Nuestra;98;Random;Random;Random;Yes;
Líder;97;Random;Random;Random;Yes;
Semana;97;Random;Random;Random;Yes;
Miranda;97;Random;Random;Random;Yes;
Manera;96;Random;Random;Random;Yes;
Cosa;96;Random;Random;Random;Yes;
Encuentro;96;Random;Random;Random;Yes;
Nos;96;Random;Random;Random;Yes;
Travé;95;Random;Random;Random;Yes;
Corazón;94;Random;Random;Random;Yes;
Cómo;94;Random;Random;Random;Yes;
Lara;93;Random;Random;Random;Yes;
000;93;Random;Random;Random;Yes;
Atención;93;Random;Random;Random;Yes;
Siembra;92;Random;Random;Random;Yes;
Vive;92;Random;Random;Random;Yes;
Presidencialven;92;Random;Random;Random;Yes;
Lealtad;92;Random;Random;Random;Yes;
Vil;92;Random;Random;Random;Yes;
Banesco;92;Random;Random;Random;Yes;
Aragua;91;Random;Random;Random;Yes;
Mundial;91;Random;Random;Random;Yes;
Frent;91;Random;Random;Random;Yes;
Hectorodriguez;91;Random;Random;Random;Yes;
Alegría;91;Random;Random;Random;Yes;
Telesurtv;91;Random;Random;Random;Yes;
Tra;90;Random;Random;Random;Yes;
Ezequiel;90;Random;Random;Random;Yes;
Lahojillaentv;90;Random;Random;Random;Yes;
Bono;90;Random;Random;Random;Yes;
Voto;89;Random;Random;Random;Yes;
Argentina;89;Random;Random;Random;Yes;
Soberano;88;Random;Random;Random;Yes;
Mientra;88;Random;Random;Random;Yes;
Entrega;88;Random;Random;Random;Yes;
Sucr;87;Random;Random;Random;Yes;
Alto;87;Random;Random;Random;Yes;
Dia;87;Random;Random;Random;Yes;
Legado;87;Random;Random;Random;Yes;
Palabra;86;Random;Random;Random;Yes;
Proceso;86;Random;Random;Random;Yes;
Muerte;86;Random;Random;Random;Yes;
Eso;86;Random;Random;Random;Yes;
30;85;Random;Random;Random;Yes;
10ene;85;Random;Random;Random;Yes;
Dirigente;85;Random;Random;Random;Yes;
Tierra;85;Random;Random;Random;Yes;
Futuro;85;Random;Random;Random;Yes;
Joven;85;Random;Random;Random;Yes;
12;84;Random;Random;Random;Yes;
Producción;84;Random;Random;Random;Yes;
Última;84;Random;Random;Random;Yes;
Economía;84;Random;Random;Random;Yes;
Socialismo;84;Random;Random;Random;Yes;
Gabelorangel;84;Random;Random;Random;Yes;
Diciembre;83;Random;Random;Random;Yes;
Jueve;83;Random;Random;Random;Yes;
Paso;83;Random;Random;Random;Yes;
Colombia;83;Random;Random;Random;Yes;
Esperanza;83;Random;Random;Random;Yes;
Mision;82;Random;Random;Random;Yes;
Alimento;82;Random;Random;Random;Yes;
Pa;82;Random;Random;Random;Yes;
Obrero;82;Random;Random;Random;Yes;
Vivienda;82;Random;Random;Random;Yes;
Marco;82;Random;Random;Random;Yes;
Carnetdlapatria;82;Random;Random;Random;Yes;
Honduras;81;Random;Random;Random;Yes;
Plaza;81;Random;Random;Random;Yes;
Son;81;Random;Random;Random;Yes;
Hay;81;Random;Random;Random;Yes;
Parroquia;81;Random;Random;Random;Yes;
Traición;81;Random;Random;Random;Yes;
Especie;81;Random;Random;Random;Yes;
Freddybernal;81;Random;Random;Random;Yes;
Compromiso;80;Random;Random;Random;Yes;
Internacional;80;Random;Random;Random;Yes;
Niña;80;Random;Random;Random;Yes;
Angostura;80;Random;Random;Random;Yes;
Com;80;Random;Random;Random;Yes;
Htt;80;Random;Random;Random;Yes;
Fin;80;Random;Random;Random;Yes;
Sido;80;Random;Random;Random;Yes;
20;79;Random;Random;Random;Yes;
Estamos;79;Random;Random;Random;Yes;
Acuerdo;79;Random;Random;Random;Yes;
José;79;Random;Random;Random;Yes;
Partido;79;Random;Random;Random;Yes;
Dijo;79;Random;Random;Random;Yes;
Criptomoneda;79;Random;Random;Random;Yes;
Iguanatv;79;Random;Random;Random;Yes;
Campaña;78;Random;Random;Random;Yes;
Mucha;78;Random;Random;Random;Yes;
Defensa;78;Random;Random;Random;Yes;
Aruba;78;Random;Random;Random;Yes;
Sin;77;Random;Random;Random;Yes;
Consejo;77;Random;Random;Random;Yes;
Violencia;77;Random;Random;Random;Yes;
Rodríguez;77;Random;Random;Random;Yes;
Despué;77;Random;Random;Random;Yes;
Portugal;77;Random;Random;Random;Yes;
Quier;77;Random;Random;Random;Yes;
Yaracuy;77;Random;Random;Random;Yes;
Democracia;76;Random;Random;Random;Yes;
Punto;76;Random;Random;Random;Yes;
Construcción;76;Random;Random;Random;Yes;
Actualidadrt;76;Random;Random;Random;Yes;
Bs;75;Random;Random;Random;Yes;
Proyecto;75;Random;Random;Random;Yes;
Debemos;75;Random;Random;Random;Yes;
Luchador;75;Random;Random;Random;Yes;
Soberanía;75;Random;Random;Random;Yes;
Omarprieto;75;Random;Random;Random;Yes;
Saber;75;Random;Random;Random;Yes;
Solidaridad;75;Random;Random;Random;Yes;
24;74;Random;Random;Random;Yes;
Libertad;74;Random;Random;Random;Yes;
Porque;74;Random;Random;Random;Yes;
Ustedes;74;Random;Random;Random;Yes;
Envivo;74;Random;Random;Random;Yes;
Region;74;Random;Random;Random;Yes;
Propuesta;74;Random;Random;Random;Yes;
Meno;74;Random;Random;Random;Yes;
Jaarreaza;74;Random;Random;Random;Yes;
Buen;74;Random;Random;Random;Yes;
Centro;74;Random;Random;Random;Yes;
Julio;73;Random;Random;Random;Yes;
158;72;Random;Random;Random;Yes;
Sabe;72;Random;Random;Random;Yes;
Evoespueblo;72;Random;Random;Random;Yes;
Barrio;72;Random;Random;Random;Yes;
Visita;72;Random;Random;Random;Yes;
Toma;72;Random;Random;Random;Yes;
Carabobo;72;Random;Random;Random;Yes;
Movimiento;72;Random;Random;Random;Yes;
Madre;71;Random;Random;Random;Yes;
Correoorinoco;71;Random;Random;Random;Yes;
Agua;71;Random;Random;Random;Yes;
Min;71;Random;Random;Random;Yes;
Fanb;71;Random;Random;Random;Yes;
Elector;70;Random;Random;Random;Yes;
Debat;70;Random;Random;Random;Yes;
Cubano;70;Random;Random;Random;Yes;
Trujillo;70;Random;Random;Random;Yes;
Decir;70;Random;Random;Random;Yes;
Cabello;70;Random;Random;Random;Yes;
Tropa;70;Random;Random;Random;Yes;
Pública;70;Random;Random;Random;Yes;
Cruz;70;Random;Random;Random;Yes;
198;69;Random;Random;Random;Yes;
Llamado;69;Random;Random;Random;Yes;
Felicidad;69;Random;Random;Random;Yes;
Alguien;69;Random;Random;Random;Yes;
Ga;69;Random;Random;Random;Yes;
Trump;69;Random;Random;Random;Yes;
Follow;69;Random;Random;Random;Yes;
Problema;68;Random;Random;Random;Yes;
Carlos;68;Random;Random;Random;Yes;
Opositor;68;Random;Random;Random;Yes;
Sólo;68;Random;Random;Random;Yes;
Fecha;68;Random;Random;Random;Yes;
15;67;Random;Random;Random;Yes;
Mensaj;67;Random;Random;Random;Yes;
Cambio;67;Random;Random;Random;Yes;
Misión;67;Random;Random;Random;Yes;
Independencia;67;Random;Random;Random;Yes;
Pasa;67;Random;Random;Random;Yes;
Caso;67;Random;Random;Random;Yes;
Madeleintlsur;67;Random;Random;Random;Yes;
Comun;67;Random;Random;Random;Yes;
Cancilleriave;67;Random;Random;Random;Yes;
17;66;Random;Random;Random;Yes;
Hacia;66;Random;Random;Random;Yes;
Accion;66;Random;Random;Random;Yes;
Soy;66;Random;Random;Random;Yes;
Ant;66;Random;Random;Random;Yes;
Empresa;66;Random;Random;Random;Yes;
Tema;66;Random;Random;Random;Yes;
Macri;66;Random;Random;Random;Yes;
Conoce;66;Random;Random;Random;Yes;
Público;66;Random;Random;Random;Yes;
Edo;66;Random;Random;Random;Yes;
Construir;66;Random;Random;Random;Yes;
Cara;66;Random;Random;Random;Yes;
Desarrollo;66;Random;Random;Random;Yes;
Escuela;65;Random;Random;Random;Yes;
Total;65;Random;Random;Random;Yes;
Ataque;65;Random;Random;Random;Yes;
Señor;65;Random;Random;Random;Yes;
Cultura;65;Random;Random;Random;Yes;
Odio;65;Random;Random;Random;Yes;
Aniversario;65;Random;Random;Random;Yes;
Mquevedof;65;Random;Random;Random;Yes;
Ministerio;65;Random;Random;Random;Yes;
Cumple;65;Random;Random;Random;Yes;
Votar;65;Random;Random;Random;Yes;
Enunidadsomosinvencibles;64;Random;Random;Random;Yes;
Leer;64;Random;Random;Random;Yes;
Sundde;64;Random;Random;Random;Yes;
Periodista;64;Random;Random;Random;Yes;
Amo;64;Random;Random;Random;Yes;
Militante;64;Random;Random;Random;Yes;
Cubaminrex;64;Random;Random;Random;Yes;
Terrorista;64;Random;Random;Random;Yes;
Trabajadora;64;Random;Random;Random;Yes;
Educación;63;Random;Random;Random;Yes;
Pago;63;Random;Random;Random;Yes;
Serán;63;Random;Random;Random;Yes;
Actividad;63;Random;Random;Random;Yes;
Producto;63;Random;Random;Random;Yes;
Meses;63;Random;Random;Random;Yes;
Mud;63;Random;Random;Random;Yes;
Llegó;63;Random;Random;Random;Yes;
Uste;63;Random;Random;Random;Yes;
Tweet;62;Random;Random;Random;Yes;
Capit;62;Random;Random;Random;Yes;
Honor;62;Random;Random;Random;Yes;
Asi;62;Random;Random;Random;Yes;
Tu;62;Random;Random;Random;Yes;
Quien;62;Random;Random;Random;Yes;
Domingo;62;Random;Random;Random;Yes;
Policía;62;Random;Random;Random;Yes;
Tarekwiliamsaab;62;Random;Random;Random;Yes;
Vivo;62;Random;Random;Random;Yes;
18;61;Random;Random;Random;Yes;
Ojo;61;Random;Random;Random;Yes;
Ayer;61;Random;Random;Random;Yes;
Compañero;61;Random;Random;Random;Yes;
Pro;61;Random;Random;Random;Yes;
Unión;61;Random;Random;Random;Yes;
Julioleonyara;61;Random;Random;Random;Yes;
Jefe;60;Random;Random;Random;Yes;
Seguro;60;Random;Random;Random;Yes;
Ht;60;Random;Random;Random;Yes;
Avanzando;60;Random;Random;Random;Yes;
Información;60;Random;Random;Random;Yes;
Gestión;60;Random;Random;Random;Yes;
Llega;60;Random;Random;Random;Yes;
Lune;60;Random;Random;Random;Yes;
Ven;59;Random;Random;Random;Yes;
Lui;59;Random;Random;Random;Yes;
Defensor;59;Random;Random;Random;Yes;
Podemo;59;Random;Random;Random;Yes;
Luego;59;Random;Random;Random;Yes;
Vladimirpadrino;59;Random;Random;Random;Yes;
Gloriosa;59;Random;Random;Random;Yes;
Dar;58;Random;Random;Random;Yes;
Nosotro;58;Random;Random;Random;Yes;
Ayuda;58;Random;Random;Random;Yes;
Hecho;58;Random;Random;Random;Yes;
Gana;58;Random;Random;Random;Yes;
